pair,type,node_id,confidence,in_degree,out_degree,total_degree,labeled_in_degree,labeled_out_degree,same_label_ratio,unlabeled_ratio,top_in_labels,top_out_labels,in_amount_mean,out_amount_mean,is_supernode
MIXER->EXCHANGE,wrong,239803,0.9816547632217408,32,11,43,6,1,0.0,0.8372093023255814,"{0: 3, 3: 2, 8: 1}",{3: 1},-0.3968544006347656,-0.33227455615997314,False
MIXER->EXCHANGE,wrong,31697,0.7128628492355347,28,73,101,2,16,0.1111111111111111,0.8217821782178217,"{0: 1, 9: 1}","{0: 10, 2: 2, 9: 1}",-0.16159437596797943,-0.054125018417835236,True
MIXER->EXCHANGE,wrong,233782,0.4712302386760711,1,2,3,0,0,0.0,1.0,{},{},-0.5249946117401123,-0.5249946117401123,False
MIXER->EXCHANGE,correct,237376,0.9769238829612732,26,9,35,2,2,0.0,0.8857142857142857,"{8: 1, 0: 1}","{8: 1, 0: 1}",-0.4648470878601074,-0.47169172763824463,False
MIXER->EXCHANGE,correct,239400,0.9664721488952636,31,22,53,4,3,0.0,0.8679245283018868,"{3: 2, 8: 1, 0: 1}","{8: 1, 0: 1, 3: 1}",-0.380675345659256,-0.46591177582740784,False
MIXER->EXCHANGE,correct,237293,0.9662024974822998,30,27,57,4,7,0.0,0.8070175438596491,"{0: 2, 8: 1, 3: 1}","{0: 6, 8: 1}",-0.4022027850151062,-0.489459365606308,False
GAMBLING->EXCHANGE,wrong,230463,0.9898712038993835,3,7,10,0,1,0.0,0.9,{},{0: 1},-0.16362474858760834,-0.5249946117401123,False
GAMBLING->EXCHANGE,wrong,235489,0.9611788988113404,2,1,3,0,0,0.0,1.0,{},{},-0.5249946117401123,-0.5249946117401123,False
GAMBLING->EXCHANGE,wrong,219952,0.9336626529693604,20,10,30,3,2,1.0,0.8333333333333334,{2: 3},{2: 2},-0.48398977518081665,0.002878332044929266,False
GAMBLING->EXCHANGE,correct,20405,0.9954914450645448,1,1,2,0,0,0.0,1.0,{},{},-0.5249946117401123,-0.5249946117401123,False
GAMBLING->EXCHANGE,correct,20195,0.9954560995101928,1,1,2,0,0,0.0,1.0,{},{},-0.5249946117401123,-0.5249946117401123,False
GAMBLING->EXCHANGE,correct,20683,0.9954428672790528,2,1,3,0,0,0.0,1.0,{},{},-0.5249946117401123,-0.5249946117401123,False
RANSOMWARE->INDIVIDUAL,correct,230341,0.995090126991272,19,4,23,2,0,0.0,0.9130434782608695,"{3: 1, 0: 1}",{},-0.4565828740596771,-0.5249946117401123,False
RANSOMWARE->INDIVIDUAL,correct,228284,0.9949228167533876,22,5,27,3,0,0.0,0.8888888888888888,"{0: 2, 3: 1}",{},-0.5031889081001282,-0.5249946117401123,False
RANSOMWARE->INDIVIDUAL,correct,228101,0.9947236776351928,15,3,18,1,0,0.0,0.9444444444444444,{2: 1},{},-0.47032153606414795,-0.5249946117401123,False
MARKETPLACE->EXCHANGE,wrong,235314,0.90925395488739,2,1,3,0,1,0.0,0.6666666666666666,{},{0: 1},-0.5249946117401123,0.5591149926185608,False
MARKETPLACE->EXCHANGE,wrong,6525,0.90888512134552,844,379,1223,183,131,0.006369426751592357,0.7432542927228127,"{0: 136, 4: 24, 2: 13}","{0: 109, 2: 11, 3: 6}",-0.08609449118375778,0.07512549310922623,True
MARKETPLACE->EXCHANGE,wrong,39535,0.6889582276344299,23,32,55,0,4,0.25,0.9272727272727272,{},"{0: 2, 2: 1, 8: 1}",-0.4684806168079376,-0.2911519408226013,False
MARKETPLACE->EXCHANGE,correct,240428,0.994006872177124,24,24,48,3,1,0.5,0.9166666666666666,"{8: 2, 3: 1}",{3: 1},-0.23285765945911407,-0.0829966738820076,False
MARKETPLACE->EXCHANGE,correct,237008,0.9933655858039856,29,28,57,3,3,0.3333333333333333,0.8947368421052632,"{8: 1, 0: 1, 3: 1}","{0: 1, 8: 1, 3: 1}",-0.30935853719711304,-0.12746211886405945,False
MARKETPLACE->EXCHANGE,correct,235827,0.9929505586624146,1,3,4,1,0,1.0,0.75,{8: 1},{},1.3792122602462769,-0.3650859296321869,False
PONZI->INDIVIDUAL,wrong,38451,0.6118420362472534,10,14,24,3,4,0.2857142857142857,0.7083333333333334,"{2: 2, 5: 1}","{0: 2, 2: 1, 5: 1}",-0.164781853556633,-0.18030945956707,False
PONZI->INDIVIDUAL,wrong,29032,0.6081160306930542,27,9,36,0,2,0.5,0.9444444444444444,{},"{5: 1, 0: 1}",-0.23152802884578705,-0.16899125277996063,False
PONZI->INDIVIDUAL,correct,91763,0.9897476434707642,2,2,4,0,1,1.0,0.75,{},{5: 1},-0.5249946117401123,-0.5249946117401123,False
PONZI->INDIVIDUAL,correct,106403,0.9896432161331176,23,8,31,3,3,0.6666666666666666,0.8064516129032258,"{5: 2, 2: 1}","{5: 2, 0: 1}",-0.4476229250431061,-0.18445658683776855,False
PONZI->INDIVIDUAL,correct,95621,0.9891270995140076,35,28,63,7,4,0.5454545454545454,0.8253968253968254,"{0: 3, 5: 3, 2: 1}","{5: 3, 0: 1}",-0.4644254446029663,-0.4691433608531952,False
PONZI->EXCHANGE,wrong,225362,0.8431336879730225,5,1,6,1,1,0.0,0.6666666666666666,{3: 1},{2: 1},-0.5249946117401123,-0.045268464833498,False
PONZI->EXCHANGE,wrong,26454,0.7465394139289856,28,19,47,0,4,0.0,0.9148936170212766,{},"{0: 3, 2: 1}",-0.4907284677028656,-0.5249946713447571,False
PONZI->EXCHANGE,wrong,40152,0.7278727293014526,37,55,92,3,20,0.08695652173913043,0.75,"{3: 1, 5: 1, 2: 1}","{0: 16, 6: 2, 5: 1}",-0.108411505818367,0.2160366177558899,False
PONZI->EXCHANGE,correct,91763,0.9897476434707642,2,2,4,0,1,1.0,0.75,{},{5: 1},-0.5249946117401123,-0.5249946117401123,False
PONZI->EXCHANGE,correct,106403,0.9896432161331176,23,8,31,3,3,0.6666666666666666,0.8064516129032258,"{5: 2, 2: 1}","{5: 2, 0: 1}",-0.4476229250431061,-0.18445658683776855,False
PONZI->EXCHANGE,correct,95621,0.9891270995140076,35,28,63,7,4,0.5454545454545454,0.8253968253968254,"{0: 3, 5: 3, 2: 1}","{5: 3, 0: 1}",-0.4644254446029663,-0.4691433608531952,False
