label,precision_full,recall_full,f1_full,precision_no_temporal,recall_no_temporal,f1_no_temporal,delta_f1,delta_precision,delta_recall
INDIVIDUAL,0.9944649446494463,0.9279104798794922,0.960035622843148,0.9929191411603472,0.9354422207876048,0.9633240997229916,0.0032884768798435715,-0.0015458034890991623,0.007531740908112594
BET,0.9800295857988166,0.9858630952380952,0.9829376854599406,0.9814951887490748,0.9866071428571428,0.9840445269016698,0.0011068414417291228,0.0014656029502582157,0.0007440476190475609
GAMBLING,0.6749116607773852,0.6773049645390071,0.6761061946902654,0.6710963455149501,0.7163120567375887,0.692967409948542,0.016861215258276552,-0.0038153152624350595,0.03900709219858156
EXCHANGE,0.3624595469255663,0.7044025157232704,0.4786324786324786,0.44,0.6918238993710691,0.5378973105134475,0.05926483188096887,0.07754045307443369,-0.012578616352201255
MINING,0.6902173913043478,0.8758620689655172,0.7720364741641338,0.7309941520467836,0.8620689655172413,0.7911392405063291,0.01910276634219532,0.04077676074243586,-0.01379310344827589
PONZI,0.6592592592592592,0.7542372881355932,0.7035573122529645,0.6716417910447762,0.7627118644067796,0.7142857142857143,0.010728402032749829,0.01238253178551696,0.008474576271186418
RANSOMWARE,0.3771929824561403,0.9148936170212766,0.5341614906832298,0.3583333333333333,0.9148936170212766,0.5149700598802395,-0.01919143080299035,-0.01885964912280702,0.0
FAUCET,0.3333333333333333,0.72,0.4556962025316455,0.3166666666666666,0.76,0.4470588235294118,-0.008637379002233714,-0.01666666666666672,0.040000000000000036
MARKETPLACE,0.5,0.4782608695652174,0.4888888888888889,0.4782608695652174,0.4782608695652174,0.4782608695652174,-0.010628019323671467,-0.021739130434782594,0.0
MIXER,0.2,0.1875,0.1935483870967742,0.25,0.25,0.25,0.05645161290322581,0.04999999999999999,0.0625
BRIDGE,0.8125,0.9285714285714286,0.8666666666666667,0.875,1.0,0.9333333333333332,0.06666666666666654,0.0625,0.0714285714285714
