label,precision_full,recall_full,f1_full,precision_no_temporal,recall_no_temporal,f1_no_temporal,delta_f1
INDIVIDUAL,0.9791208791208792,0.3834732085216268,0.5511056131127261,0.9738760631834752,0.3449537335915644,0.5094549499443827,-0.04165066316834343
BET,0.9944495837187788,0.7998511904761905,0.8865979381443299,0.9919137466307276,0.8214285714285714,0.8986568986568987,0.012058960512568828
GAMBLING,0.7777777777777778,0.0496453900709219,0.0933333333333333,0.7222222222222222,0.0460992907801418,0.0866666666666666,-0.006666666666666696
EXCHANGE,0.0159276797244941,0.2327044025157232,0.0298146655922643,0.0213333333333333,0.3522012578616352,0.0402298850574712,0.0104152194652069
MINING,0.3826714801444043,0.7310344827586207,0.5023696682464455,0.3894736842105263,0.7655172413793103,0.5162790697674419,0.0139094015209964
PONZI,0.7727272727272727,0.1440677966101695,0.2428571428571428,0.8148148148148148,0.1864406779661017,0.3034482758620689,0.06059113300492611
RANSOMWARE,0.0568475452196382,0.4680851063829787,0.1013824884792626,0.0708215297450425,0.5319148936170213,0.125,0.023617511520737405
FAUCET,0.040650406504065,0.2,0.0675675675675675,0.0632911392405063,0.4,0.1092896174863388,0.04172204991877129
MARKETPLACE,0.0421455938697318,0.9565217391304348,0.0807339449541284,0.0679611650485436,0.9130434782608696,0.1265060240963855,0.0457720791422571
MIXER,0.0446428571428571,0.3125,0.078125,0.0446428571428571,0.3125,0.078125,0.0
BRIDGE,0.1037037037037037,1.0,0.1879194630872483,0.0804597701149425,1.0,0.1489361702127659,-0.038983292874482406
