feature,split,class_id,mean_feature_value
reveal,train,0,0.5647363
reveal,train,1,0.72426033
reveal,train,2,0.02109118
reveal,train,3,0.2625388
reveal,train,4,-0.14619407
reveal,train,5,0.265861
reveal,train,6,0.76931226
reveal,train,7,0.18860318
reveal,train,8,1.0739353
reveal,train,9,0.002238847
reveal,train,10,1.1816891
reveal,val,0,0.4389367
reveal,val,1,0.76717335
reveal,val,2,0.06505973
reveal,val,3,0.24109049
reveal,val,4,-0.3824148
reveal,val,5,0.16806737
reveal,val,6,0.31606525
reveal,val,7,0.5555537
reveal,val,8,0.5898632
reveal,val,9,1.0666028
reveal,val,10,1.1816889
reveal,test,0,0.61415046
reveal,test,1,0.73496574
reveal,test,2,0.30928862
reveal,test,3,0.57786804
reveal,test,4,-0.5172136
reveal,test,5,0.25177908
reveal,test,6,0.65811485
reveal,test,7,0.36264315
reveal,test,8,-1.0223976
reveal,test,9,0.5564393
reveal,test,10,1.1816891
last_seen,train,0,0.7583188
last_seen,train,1,0.6755615
last_seen,train,2,0.1896327
last_seen,train,3,0.60586613
last_seen,train,4,0.016570266
last_seen,train,5,0.27749968
last_seen,train,6,1.1332469
last_seen,train,7,0.3937297
last_seen,train,8,1.791596
last_seen,train,9,0.29368645
last_seen,train,10,1.9398692
last_seen,val,0,0.618459
last_seen,val,1,0.76789296
last_seen,val,2,0.22823837
last_seen,val,3,0.6106103
last_seen,val,4,-0.22462296
last_seen,val,5,0.1213948
last_seen,val,6,0.60750663
last_seen,val,7,0.8634374
last_seen,val,8,1.1609739
last_seen,val,9,1.7320292
last_seen,val,10,1.9398688
last_seen,test,0,0.8428385
last_seen,test,1,0.6755845
last_seen,test,2,0.55079937
last_seen,test,3,1.0830382
last_seen,test,4,-0.39507487
last_seen,test,5,0.2658813
last_seen,test,6,1.0495775
last_seen,test,7,0.66093045
last_seen,test,8,-0.897261
last_seen,test,9,0.99100626
last_seen,test,10,1.939869
total,train,0,0.14354928
total,train,1,-0.2886479
total,train,2,0.20010376
total,train,3,0.014464736
total,train,4,-0.07918698
total,train,5,-0.055129856
total,train,6,-0.36767456
total,train,7,-0.06964494
total,train,8,0.30843472
total,train,9,0.07617587
total,train,10,-0.44828397
total,val,0,0.11522289
total,val,1,-0.13152602
total,val,2,0.13786711
total,val,3,-0.18948315
total,val,4,-0.072127946
total,val,5,-0.16672212
total,val,6,-0.33810583
total,val,7,-0.2169988
total,val,8,-0.14886867
total,val,9,-0.37267375
total,val,10,-0.5126939
total,test,0,0.1316378
total,test,1,-0.2010029
total,test,2,0.18727733
total,test,3,0.120340094
total,test,4,-0.10000033
total,test,5,-0.18279228
total,test,6,-0.4262642
total,test,7,-0.32541457
total,test,8,-0.024278855
total,test,9,-0.3396661
total,test,10,-0.37116346
min,train,0,-0.020693969
min,train,1,-0.09257768
min,train,2,-0.3165783
min,train,3,0.15254682
min,train,4,0.12906455
min,train,5,-0.19844235
min,train,6,0.44838396
min,train,7,-0.55684716
min,train,8,-0.27919143
min,train,9,0.15179078
min,train,10,-1.0479809
min,val,0,-0.16536789
min,val,1,-0.11901478
min,val,2,-0.34168077
min,val,3,0.15678734
min,val,4,0.13495208
min,val,5,-0.18286169
min,val,6,0.29959512
min,val,7,-0.4774163
min,val,8,0.75723064
min,val,9,0.1460955
min,val,10,-1.0278283
min,test,0,-0.06613338
min,test,1,-0.10166413
min,test,2,-0.3269473
min,test,3,0.09915385
min,test,4,0.217142
min,test,5,-0.2482377
min,test,6,0.58888537
min,test,7,-0.5792628
min,test,8,-0.07340559
min,test,9,-0.027758474
min,test,10,-0.5711852
max,train,0,0.054759767
max,train,1,-0.23090689
max,train,2,-0.22938918
max,train,3,0.20512033
max,train,4,0.09380498
max,train,5,-0.23007794
max,train,6,0.29311794
max,train,7,-0.6276941
max,train,8,-0.16096243
max,train,9,0.23073237
max,train,10,-1.112854
max,val,0,-0.11192254
max,val,1,-0.21298599
max,val,2,-0.26061082
max,val,3,0.09957759
max,val,4,0.088011436
max,val,5,-0.26807636
max,val,6,0.18104906
max,val,7,-0.55875117
