dataset,feature,feature_idx,train_mean,train_std,val_mean,val_std,test_mean,test_std,abs_mean_shift,std_mean_shift,ks_statistic,ks_pvalue,wasserstein_distance
class_balanced_khop,reveal,0,0.5748672,0.8796072,0.50116086,0.9548553,0.56629986,0.84440976,0.008567333,0.009739953,0.030246861472308928,1.389990669517557e-43,0.032170179344697
temporal_balanced,reveal,0,0.20026845,0.9757059,0.59338844,0.81896275,0.74650633,0.7712038,0.5462379,0.55983865,0.5462737063184754,0.0,0.5462380950556066
class_balanced_khop,last_seen,1,0.80248237,1.0502435,0.6655131,1.081762,0.7958836,1.0428101,0.0065987706,0.0062830863,0.0355689191916983,4.1338379314852273e-60,0.05472377904588057
temporal_balanced,last_seen,1,0.20806456,0.9979677,0.7359387,0.9312177,1.1801637,1.0143465,0.9720992,0.9740788,0.5720178669444056,0.0,0.9720995553401932
class_balanced_khop,total,2,0.28165588,1.325504,0.1138859,1.147542,0.25291935,1.2896981,0.028736532,0.021679703,0.008762843008001675,0.0004759359754995213,0.028736532722399854
temporal_balanced,total,2,-0.050901636,0.9225113,0.023588207,1.0476887,0.5270294,1.5023804,0.57793105,0.6264759,0.18232279674169294,0.0,0.5779309088555736
class_balanced_khop,min,3,0.10566756,0.8506758,-0.028028404,0.94788975,0.17375831,0.78130347,0.06809075,0.08004312,0.03766834090477818,2.2967456943554686e-67,0.06809078219457272
temporal_balanced,min,3,0.34291148,0.8068233,0.1536452,0.93857044,-0.1402956,0.8218901,0.48320708,0.59890074,0.25786706821116684,0.0,0.4845107713079194
class_balanced_khop,max,4,0.23482355,0.81955534,0.027776059,0.9758989,0.30779368,0.75180316,0.07297012,0.08903623,0.025338824164570506,1.031466871275176e-30,0.07297014720523282
temporal_balanced,max,4,0.32083464,0.80198574,0.1607115,0.9350749,0.11383966,0.8444345,0.20699498,0.25810307,0.11236854495871684,0.0,0.2082314145739163
class_balanced_khop,avg,5,0.26296228,0.8440633,0.040362567,1.001917,0.32664818,0.7889706,0.063685894,0.07545156,0.021033356078907134,2.701349155614664e-21,0.06368588838517707
temporal_balanced,avg,5,0.3107848,0.8115868,0.16366282,0.9310991,0.16943705,0.90221816,0.14134774,0.1741622,0.07723752804365086,0.0,0.1501915216983759
class_balanced_khop,duration,6,0.446501,1.7781099,0.19130011,1.3649914,0.3962794,1.6641858,0.050221592,0.028244369,0.009611991438525536,8.740233912700885e-05,0.054320647175605516
temporal_balanced,duration,6,-0.10046209,0.707752,0.05099432,1.0943456,0.8338608,2.143133,0.9343229,1.3201275,0.22486280691160987,0.0,0.9343228833241983
class_balanced_khop,frequency,7,-1.2549328,1.7747831,-0.95189184,1.5963238,-1.3077595,1.8330381,0.052826762,0.029765192,0.036686598408011556,6.392644276396677e-64,0.11403818017698393
temporal_balanced,frequency,7,-0.23154752,1.0643884,-0.8909076,1.2738715,-1.926615,1.9234077,1.6950675,1.5925273,0.5720178669444056,0.0,1.6950672326572038
class_balanced_khop,recency,8,0.19645426,0.8048845,0.009906858,0.9604293,0.27033585,0.72860295,0.0738816,0.09179155,0.028995003728416957,4.383692750288456e-40,0.07388162191588812
temporal_balanced,recency,8,0.33480886,0.79713064,0.16243184,0.93320024,0.031213105,0.7994745,0.30359575,0.38086072,0.1802297930439818,0.0,0.3049074665394277
class_balanced_khop,feat9,9,0.26556927,1.0900635,0.13530771,1.0557724,0.28342628,1.108205,0.017857015,0.016381629,0.015741898684409672,4.0790824314358414e-12,0.018037846443351147
temporal_balanced,feat9,9,0.04517308,1.0483407,0.08795221,1.0459052,0.4304831,1.0917475,0.38531002,0.36754274,0.1917620481803773,0.0,0.38536531722061207
class_balanced_khop,feat10,10,-0.2391876,1.0338666,-0.13269211,0.9921387,-0.23768388,1.0163245,0.0015037209,0.0014544631,0.006823472585642143,0.012691775903817634,0.01626729251619958
temporal_balanced,feat10,10,-0.016440121,0.97425467,-0.08174454,1.0024796,-0.41345695,1.0212793,0.39701682,0.40750825,0.20016098153419826,0.0,0.39701682150645085
